step,lift_mm,encoder_count,encoder_deg
1,0.04,4,1.00
2,0.03,8,2.00
3,0.03,12,3.00
4,0.03,17,4.25
5,0.02,20,5.00
6,0.02,24,6.00
7,0.01,28,7.00
8,0.00,33,8.25
9,0.00,36,9.00
10,0.02,40,10.00
11,0.03,44,11.00
12,0.03,48,12.00
13,0.03,52,13.00
14,0.05,56,14.00
15,0.05,60,15.00
16,0.07,64,16.00
17,0.08,68,17.00
18,0.12,72,18.00
19,0.14,76,19.00
20,0.16,80,20.00
21,0.19,84,21.00
22,0.22,88,22.00
23,0.25,92,23.00
24,0.25,97,24.25
25,0.28,100,25.00
26,0.32,105,26.25
27,0.40,108,27.00
28,0.44,112,28.00
29,0.45,116,29.00
30,0.49,121,30.25
31,0.58,124,31.00
32,0.64,129,32.25
33,0.69,132,33.00
34,0.75,136,34.00
35,0.75,141,35.25
36,0.82,145,36.25
37,0.88,149,37.25
38,0.94,153,38.25
39,1.08,156,39.00
40,1.15,161,40.25
41,1.24,164,41.00
42,1.34,169,42.25
43,1.32,173,43.25
44,1.40,177,44.25
45,1.58,181,45.25
46,1.68,185,46.25
47,1.77,189,47.25
48,1.88,193,48.25
49,1.97,197,49.25
50,2.09,201,50.25
51,2.09,205,51.25
52,2.20,209,52.25
53,2.32,213,53.25
54,2.44,217,54.25
55,2.56,221,55.25
56,2.69,225,56.25
57,2.95,229,57.25
58,3.09,233,58.25
59,3.23,237,59.25
60,3.38,242,60.50
61,3.38,245,61.25
62,3.64,250,62.50
63,3.77,254,63.50
64,3.89,258,64.50
65,3.99,262,65.50
66,3.99,266,66.50
67,4.14,270,67.50
68,4.15,274,68.50
69,4.24,278,69.50
70,4.26,282,70.50
71,4.26,286,71.50
72,4.27,290,72.50
73,4.27,294,73.50
74,4.23,298,74.50
75,4.20,302,75.50
76,4.14,306,76.50
77,4.13,310,77.50
78,3.97,314,78.50
79,3.87,318,79.50
80,3.74,322,80.50
81,3.74,326,81.50
82,3.48,330,82.50
83,3.48,335,83.75
84,3.35,338,84.50
85,3.08,342,85.50
86,2.94,347,86.75
87,2.81,350,87.50
88,2.69,355,88.75
89,2.69,358,89.50
90,2.57,362,90.50
91,2.33,366,91.50
92,2.21,371,92.75
93,2.11,374,93.50
94,1.99,379,94.75
95,1.89,383,95.75
96,1.80,387,96.75
97,1.72,390,97.50
98,1.70,395,98.75
99,1.60,399,99.75
100,1.52,403,100.75
101,1.34,407,101.75
102,1.25,411,102.75
103,1.19,415,103.75
104,1.11,419,104.75
105,1.11,423,105.75
106,0.98,427,106.75
107,0.97,431,107.75
108,0.84,435,108.75
109,0.78,439,109.75
110,0.79,443,110.75
111,0.67,447,111.75
112,0.68,451,112.75
113,0.57,455,113.75
114,0.53,459,114.75
115,0.49,463,115.75
116,0.44,467,116.75
117,0.40,471,117.75
118,0.40,475,118.75
119,0.32,479,119.75
120,0.33,483,120.75
121,0.26,487,121.75
122,0.23,491,122.75
123,0.21,495,123.75
124,0.19,499,124.75
125,0.19,503,125.75
126,0.17,507,126.75
127,0.15,512,128.00
128,0.14,515,128.75
129,0.11,519,129.75
130,0.10,523,130.75
131,0.09,527,131.75
132,0.08,531,132.75
133,0.08,536,134.00
134,0.08,540,135.00
135,0.07,543,135.75
136,0.06,547,136.75
137,0.05,551,137.75
138,0.06,555,138.75
139,0.05,559,139.75
140,0.04,563,140.75
141,0.04,568,142.00
142,0.03,572,143.00
143,0.03,575,143.75
144,0.02,579,144.75
145,0.02,583,145.75
146,0.02,588,147.00
147,0.02,592,148.00
148,0.01,596,149.00
149,0.01,600,150.00
150,0.01,604,151.00
151,0.01,608,152.00
152,0.01,612,153.00
153,0.01,616,154.00
154,0.01,620,155.00
155,0.01,624,156.00
156,0.01,628,157.00
157,0.01,632,158.00
158,0.01,635,158.75
159,0.01,640,160.00
160,0.01,644,161.00
161,0.01,648,162.00
162,0.01,652,163.00
163,0.01,656,164.00
164,0.01,660,165.00
165,0.01,664,166.00
166,0.01,668,167.00
167,0.01,672,168.00
168,0.01,676,169.00
169,0.01,680,170.00
170,0.01,684,171.00
171,0.01,688,172.00
172,0.01,692,173.00
173,0.01,696,174.00
174,0.01,700,175.00
175,0.01,704,176.00
176,0.02,708,177.00
177,0.01,712,178.00
178,0.01,716,179.00
179,0.01,720,180.00
180,0.01,724,181.00
181,0.02,728,182.00
182,0.02,732,183.00
183,0.02,736,184.00
184,0.02,740,185.00
185,0.02,744,186.00
186,0.03,748,187.00
187,0.03,752,188.00
188,0.03,757,189.25
189,0.03,759,189.75
190,0.03,763,190.75
191,0.03,767,191.75
192,0.03,772,193.00
193,0.02,776,194.00
194,0.02,780,195.00
195,0.03,784,196.00
196,0.02,788,197.00
197,0.02,791,197.75
198,0.02,796,199.00
199,0.02,800,200.00
200,0.02,804,201.00
201,0.02,808,202.00
202,0.02,812,203.00
203,0.02,816,204.00
204,0.02,820,205.00
205,0.02,824,206.00
206,0.03,828,207.00
207,0.03,831,207.75
208,0.03,835,208.75
209,0.03,840,210.00
210,0.03,844,211.00
211,0.03,848,212.00
212,0.03,852,213.00
213,0.03,856,214.00
214,0.03,860,215.00
215,0.03,864,216.00
216,0.02,867,216.75
217,0.03,872,218.00
218,0.02,876,219.00
219,0.02,880,220.00
220,0.02,884,221.00
221,0.02,888,222.00
222,0.02,891,222.75
223,0.02,896,224.00
224,0.02,899,224.75
225,0.02,903,225.75
226,0.02,907,226.75
227,0.02,911,227.75
228,0.01,915,228.75
229,0.01,919,229.75
230,0.01,923,230.75
231,0.01,927,231.75
232,0.01,931,232.75
233,0.01,935,233.75
234,0.01,939,234.75
235,0.01,943,235.75
236,0.01,947,236.75
237,0.01,951,237.75
238,0.01,955,238.75
239,0.01,959,239.75
240,0.01,963,240.75
241,0.01,967,241.75
242,0.01,971,242.75
243,0.01,975,243.75
244,0.00,979,244.75
245,0.00,983,245.75
246,0.00,987,246.75
247,0.00,991,247.75
248,0.00,995,248.75
249,0.00,998,249.50
250,0.00,1003,250.75
251,0.00,1007,251.75
252,0.00,1011,252.75
253,0.00,1014,253.50
254,0.00,1019,254.75
255,0.00,1022,255.50
256,0.00,1027,256.75
257,0.00,1031,257.75
258,0.00,1035,258.75
259,0.00,1038,259.50
260,0.00,1043,260.75
261,0.00,1047,261.75
262,0.00,1050,262.50
263,0.00,1054,263.50
264,0.00,1058,264.50
265,0.00,1062,265.50
266,0.00,1067,266.75
267,0.00,1071,267.75
268,0.00,1074,268.50
269,0.00,1078,269.50
270,0.00,1082,270.50
271,0.00,1086,271.50
272,0.01,1090,272.50
273,0.01,1094,273.50
274,0.01,1098,274.50
275,0.01,1102,275.50
276,0.01,1106,276.50
277,0.01,1110,277.50
278,0.01,1114,278.50
279,0.01,1117,279.25
280,0.01,1122,280.50
281,0.01,1126,281.50
282,0.01,1130,282.50
283,0.01,1134,283.50
284,0.01,1138,284.50
285,0.01,1142,285.50
286,0.01,1146,286.50
287,0.01,1150,287.50
288,0.01,1153,288.25
289,0.01,1157,289.25
290,0.01,1162,290.50
291,0.01,1166,291.50
292,0.01,1169,292.25
293,0.01,1173,293.25
294,0.01,1178,294.50
295,0.01,1181,295.25
296,0.01,1185,296.25
297,0.01,1189,297.25
298,0.01,1193,298.25
299,0.02,1197,299.25
300,0.02,1201,300.25
301,0.02,1205,301.25
302,0.02,1210,302.50
303,0.02,1213,303.25
304,0.02,1217,304.25
305,0.02,1221,305.25
306,0.02,1225,306.25
307,0.02,1229,307.25
308,0.02,1233,308.25
309,0.02,1237,309.25
310,0.02,1241,310.25
311,0.02,1245,311.25
312,0.02,1250,312.50
313,0.02,1253,313.25
314,0.02,1257,314.25
315,0.02,1261,315.25
316,0.02,1265,316.25
317,0.02,1269,317.25
318,0.02,1273,318.25
319,0.02,1277,319.25
320,0.02,1281,320.25
321,0.02,1285,321.25
322,0.02,1290,322.50
323,0.02,1293,323.25
324,0.02,1297,324.25
325,0.02,1301,325.25
326,0.02,1305,326.25
327,0.02,1309,327.25
328,0.02,1314,328.50
329,0.02,1318,329.50
330,0.02,1322,330.50
331,0.02,1325,331.25
332,0.02,1330,332.50
333,0.02,1333,333.25
334,0.02,1337,334.25
335,0.03,1341,335.25
336,0.03,1346,336.50
337,0.03,1350,337.50
338,0.03,1353,338.25
339,0.03,1357,339.25
340,0.03,1362,340.50
341,0.03,1365,341.25
342,0.03,1369,342.25
343,0.03,1374,343.50
344,0.03,1378,344.50
345,0.03,1382,345.50
346,0.03,1386,346.50
347,0.03,1390,347.50
348,0.03,1394,348.50
349,0.03,1398,349.50
350,0.03,1402,350.50
351,0.03,1406,351.50
352,0.03,1410,352.50
353,0.03,1414,353.50
354,0.03,1418,354.50
355,0.03,1422,355.50
356,0.04,1426,356.50
357,0.04,1430,357.50
358,0.03,1434,358.50
359,0.03,1438,359.50
